country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,EUCATEX PN,Eucatex SA Industria e Comercio,BREUCAACNPR8,BRL,EUCA4,PN,42079.0,none
brazil,The Coca Cola Co BDR,The Coca-Cola Co BDR,BRCOCABDR002,BRL,COCA34,BDR,42025.0,none
brazil,FII CSHG LOG,FII CSHG LOG,BRHGLGCTF004,BRL,HGLG11,FII/Unit,41395.0,none
brazil,Biomm On,Biomm On,BRBIOMACNOR2,BRL,BIOM3,ON,38928.0,none
brazil,FII KINEA,FII KINEA,BRKNRICTF007,BRL,KNRI11,FII/Unit,37237.0,none
brazil,HSI Malls FII,HSI Malls Fundo de Investimento Imobiliario,BRHSMLCTF007,BRL,HSML11,FII/Unit,36514.0,none
brazil,FII CSHG CRI,FII CSHG CRI,BRHGCRCTF000,BRL,HGCR11,FII/Unit,36395.0,none
brazil,SAO CARLOS ON,SAO CARLOS ON NM,BRSCARACNOR7,BRL,SCAR3,ON,35362.0,none
brazil,TIME FOR FUN ON,T4F Entretenimento SA,BRSHOWACNOR7,BRL,SHOW3,ON,34000.0,none
brazil,Berkshire Hathaway BDR,Berkshire Hathaway Inc BDR,BRBERKBDR002,BRL,BERK34,BDR,33139.0,none
brazil,Vinci Shopping Centers FII,Vinci Shopping Centers Fundo de Investimento Imobiliario FII,BRVISCCTF005,BRL,VISC11,FII/Unit,32960.0,none
brazil,KINEA HIGH YIELD CRI FII,KINEA HIGH YIELD CRI FII,BRKNHYCTF005,BRL,KNHY11,FII/Unit,32811.0,none
brazil,FII RBR Rendimento High Grade,FII RBR Rendimento High Grade,BRRBRRCTF008,BRL,RBRR11,FII/Unit,32542.0,none
brazil,GERDAU MET ON,Metalurgica Gerdau SA,BRGOAUACNOR1,BRL,GOAU3,ON,32104.0,none
brazil,Hectare Ce Fdo Inv Imob,Hectare Ce Fdo Inv Imob Reit,,BRL,HCTR11,FII/Unit,32043.0,none
brazil,Bank of America Corp BDR,Bank of America Corp BDR,BRBOACBDR004,BRL,BOAC34,BDR,31278.0,none
brazil,XP LOG FII,XP LOG FDO INV IMOB CF,BRXPLGCTF002,BRL,XPLG11,FII/Unit,30550.0,none
brazil,GERDAU ON,Gerdau SA,BRGGBRACNOR1,BRL,GGBR3,ON,29595.0,none
brazil,Whirlpool Pref,Whirlpool SA Pref,BRWHRLACNPR2,BRL,WHRL4,PN,27460.0,none
brazil,RBR Private Crédito Imobiliário,RBR Private Crédito Imobiliário,BRRBRYCTF004,BRL,RBRY11,FII/Unit,27354.0,none
brazil,Nike Inc BDR,Nike Inc BDR,BRNIKEBDR006,BRL,NIKE34,BDR,27017.0,none
brazil,RANDON PART ON,Randon Participacoes SA,BRRAPTACNOR7,BRL,RAPT3,ON,26768.0,none
